model_name,sample_idx,norm,gt_mean,action
dwm-2,2,7.245387077331543,0.5399999618530273,2
dwm-2,3,9.828018188476562,0.5199999809265137,3
dwm-2,4,9.828018188476562,0.5199999809265137,3
