,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,0
0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,6
1,1.0,3.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,0.0,1.0,4.0,22
2,1.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,12
3,4.0,1.0,1.0,4.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,11
4,1.0,4.0,2.0,4.0,3.0,2.0,4.0,0.0,1.0,3.0,3.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,4.0,3.0,11
5,0.0,2.0,3.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,4.0,3.0,6
6,4.0,4.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,4.0,1.0,0.0,12
7,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,4.0,3.0,5
8,1.0,2.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,15
9,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,0.0,1.0,4.0,8
10,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,3.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,4.0,3.0,21
11,4.0,3.0,0.0,4.0,2.0,2.0,0.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,15
12,0.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,4.0,3.0,4
